---
# FILENAME: New Recording 14.txt
---
# Transcript for New Recording 14.m4a
# Language: ru, prob=1.00

[   0.00 -    2.32] Сказывал, да, получается, такие вещи.
[   3.56 -    7.72] То есть вроде бы 4 дня мало, 5 дней, окей.
[   7.72 -   10.76] Но все время зарегулированные 5 дней.
[  11.76 -   12.92] Тоже не окей.
[  13.40 -   15.96] То есть надо отдавать какой-то...
[  16.76 -   17.92] Какие-то дырки.
[  18.76 -   20.44] Но как-то так мы с ней решили.
[  21.84 -   23.12] Это первое.
[  23.12 -   23.96] Второе.
[  25.16 -   26.56] Мы поднимаем цены.
[  27.28 -   28.28] И посмотрим.
[  29.24 -   30.96] Что из этого получится.
[  31.72 -   33.84] И мы решили поднять цену.
[  36.00 -   37.80] Включая поездку.
[  37.80 -   39.80] Туда будет входить поездка.
[  39.80 -   40.96] Колбавра Алто.
[  42.12 -   43.64] 1550.
[  48.00 -   48.84] Посмотрим.
[  48.84 -   51.64] Потому что сейчас, все, кто едет,
[  51.64 -   56.08] они уже, либо люди, как мы с тобой говорили, состоятельные.
[  56.08 -   57.84] Либо что-то еще, но еще посмотрим.
[  58.84 -   60.04] Нет так нет.
[  62.60 -   63.72] Третий момент.
[  63.72 -   68.72] У нас примерно сложилось, очень кратко, конечно, бесподробностей.
[  71.64 -   73.96] Как мы будем ходить.
[  77.64 -   80.00] Тема остается, как я тебе говорила, да?
[  80.84 -   81.84] Ардыко.
[  81.84 -   96.87] Конечно, написала мне.
[  96.87 -   98.87] Первый день 15 октября.
[  98.87 -   99.87] Правой берег.
[ 101.70 -  103.22] Дынье Легор.
[1182.42 - 1183.42] Это тоже целая история, потому что я не
[1183.42 - 1184.42] преподавала очень давно.
[1184.42 - 1186.42] Конечно.
[1186.42 - 1188.42] А, честно говоря,
[1188.42 - 1190.42] никакие...
[1190.42 - 1191.42] честно говоря, ЕГЭ
[1191.42 - 1193.42] нужно хорошо сдать на всякий случай.
[1193.42 - 1194.42] Честно говоря, на всякий случай
[1194.42 - 1195.42] ЕГЭ надо가지 дать хорошо.
[1195.42 - 1197.42] Что хорошо?
[1197.42 - 1199.42] Честно говоря, на всякий случай
[1199.42 - 1201.42] ЕГЭ нужно сдать хорошо.
[1201.42 - 1202.42] ИГЭ?
[1202.42 - 1204.42] Все, поняла, ЕГЭ, да.
[1204.42 - 1205.42] Да.
[1205.42 - 1207.42] Хотя это не очевидно, что он, в
[1207.42 - 1208.42] себя вообщеunkазал,
[1208.42 - 1209.42] прикcolorится, но мне кажется,
[1209.42 - 1211.42] что имеет смысл...
[1211.42 - 1212.42] какOOOm-то почему.
[1212.42 - 1216.86] Вот у меня есть это тем, у меня есть переезд и так далее.
[1216.86 - 1220.42] У меня есть Мария, у меня есть много что.
[1220.42 - 1223.86] Ну вот, а может теперь это излишнее?
[1223.86 - 1225.82] Нет, нет, не излишнее.
[1225.82 - 1226.82] Нет.
[1226.82 - 1227.82] Ну смотри.
[1227.82 - 1229.82] Короче, давай тогда продолжим.
[1229.82 - 1230.82] Я поняла.
[1230.82 - 1234.98] Мы с тобой сказали, следующий, я напомню.
[1234.98 - 1238.42] Мы с тобой говорили, что заказчик хочет РДК.
[1238.42 - 1240.98] При этом для РДК необходимо...
[1240.98 - 1241.98] Понимание с тебе.
[1241.98 - 1243.98] Понимание стиля и ресурс.
[1243.98 - 1245.98] Понимание ключевых принципов РДК.
[1245.98 - 1247.98] Вот что мы будем рассматривать ключевые принципы.
[1247.98 - 1250.98] Мы будем видеть, не просто смотреть, мы будем видеть.
[1250.98 - 1253.98] Что такое настоящая РДК?
[1253.98 - 1257.98] Почему это, которое похоже, можно назвать РДК?
[1257.98 - 1262.32] Или нет?
[1262.32 - 1265.32] Вообще, что за философию РДК?
[1265.32 - 1266.32] Будем понимать философию РДК?
[1266.32 - 1268.32] Каждый стиль есть в своей философии.
[1268.32 - 1270.32] Да философия не в ниших протестов.
[1270.32 - 1272.32] Философия, они...
[1272.32 - 1274.32] Но вот мы будем...
[1274.32 - 1276.32] Эту философию рассматривать.
[1276.32 - 1278.32] Больше ничего мы не можем.
[1278.32 - 1280.32] Мы можем рассматривать в живую.
[1280.32 - 1282.32] Обращать внимание на те титари,
[1282.32 - 1286.32] в чем фишка часто бывает, когда я хожу.
[1286.32 - 1290.32] Вот Ольга говорит, вы обращаете внимание на такие вещи,
[1290.32 - 1292.32] на которые мы будем видеть.
[1292.32 - 1294.32] Да, я бы... Очередно.
[1294.32 - 1296.32] Мы бы их и не заметили.
[1296.32 - 1298.32] А сейчас...
[1298.32 - 1300.32] Я думаю, что эта вот твоя история, повторяющаяся,
[1300.32 - 1304.32] она, в принципе, неплохая, указующего пальца,
[1304.32 - 1307.32] так уж получилось благодаря твоим оклёным,
[1307.32 - 1308.32] я думаю, врождённым способом.
[1308.32 - 1310.32] Ну как проводники, знаешь?
[1310.32 - 1312.32] Я применен. Так уж получилось,
[1312.32 - 1314.32] во многом, говорим, врождённым способом,
[1314.32 - 1316.32] то что ты с детства, с самого этой теми,
[1316.32 - 1318.32] с твоей и в насмотренности твоим, знаете.
[1318.32 - 1321.32] Так же получилось, еще потому, что ты женщина,
[1321.32 - 1323.32] там, так далее.
[1323.32 - 1327.32] Ты твой, как бы, как сказать, сейчас.
[1327.32 - 1329.32] Твоё разрешение очень высокое,
[1329.32 - 1332.32] то очень много, что видишь, что отчувьёшь.
[1332.32 - 1334.32] И понятно, что ты можешь сказать,
[1334.32 - 1336.32] смотрите, вот можно на это обратить внимание,
[1336.32 - 1338.32] можно на это обратить внимание, можно на это.
[1338.32 - 1340.32] Просто потому, что ты видишь.
[1340.32 - 1342.32] Да? Правильно, понимаешь?
[1342.32 - 1344.32] То есть условно говоря, там, я думаю,
[1344.32 - 1346.32] что я примерно лучше вижу твою здоровье,
[1346.32 - 1348.32] чем ты, я тебе говорю, слушай,
[1348.32 - 1350.32] тебе надо сейчас за пролег соблюдать.
[1350.32 - 1351.32] Ну да.
[1351.32 - 1352.32] Ну да, наверное, может быть.
[1352.32 - 1355.32] Вот, то есть, это всегда такая штука.
[1355.32 - 1356.32] Это важно.
[1356.32 - 1358.32] Мне кажется, что есть ещё одно, в общем,
[1358.32 - 1360.32] важное тело, я не знаю, как его донести,
[1360.32 - 1362.32] практически невозможно.
[1362.32 - 1364.32] Значит,
[1366.32 - 1370.18] мы сейчас находимся вот в эпидемии
[1370.18 - 1372.18] экранов.
[1372.18 - 1373.18] Да?
[1373.18 - 1375.18] Вовсё как смысл слову.
[1375.18 - 1377.18] И...
[1377.18 - 1383.34] Сейчас, сейчас, подожди, сейчас.
[1383.34 - 1385.34] И это погружение настолько глубокое,
[1385.34 - 1387.34] что
[1387.34 - 1389.34] у человека не всегда вообще теперь есть
[1389.34 - 1391.34] понимание
[1391.34 - 1393.34] того, что есть
[1393.34 - 1395.34] вот это погружение.
[1395.34 - 1397.34] Неопосредованное экран, что
[1397.34 - 1399.34] необходимо
[1399.34 - 1401.34] уфлайного
[1401.34 - 1403.34] уфлайного наблюдения.
[1403.34 - 1404.34] Опыт.
[1404.34 - 1406.34] И вот как через экран, потому что
[1406.34 - 1408.34] мы обращаемся к ним через экран.
[1408.34 - 1410.34] Как через экран сказать, ребята, надо выйти
[1410.34 - 1412.34] из экрана для того, что...
[1412.34 - 1413.34] Вот, знаешь, вот ещё.
[1413.34 - 1415.34] То есть есть тема, указающего персто.
[1415.34 - 1417.34] Её, понимаю, моё разорвём.
[1417.34 - 1419.34] Мы на неё обращали внимание уже в Париже.
[1419.34 - 1421.34] Мы же завернув эту тему. Продолжим.
[1421.34 - 1423.34] Вот мне ещё сейчас
[1423.34 - 1425.34] кажется, как вообще типа
[1425.34 - 1427.34] нельзя, надо...
[1429.34 - 1431.34] Такая чёрта, понимаешь?
[1431.34 - 1433.34] Погружение в материальный мир.
[1433.34 - 1435.34] А вот сейчас я запускала курс
[1435.34 - 1436.34] и говорила, что Айдмайс
[1436.34 - 1437.34] самых важных компетенций,
[1437.34 - 1439.34] декоратором.
[1439.34 - 1441.34] Это трогать,
[1441.34 - 1443.34] смотреть в живую.
[1443.34 - 1445.34] На экране это
[1445.34 - 1447.34] конспект. Но прежде чем решиться,
[1447.34 - 1449.34] чтобы поставить такой, это был азарей.
[1449.34 - 1451.34] Такой это подушку.
[1451.34 - 1453.34] И так дальше.
[1453.34 - 1455.34] Должны хорошо понимать тактирные свойства.
[1455.34 - 1457.34] И вообще представлять за отношение
[1457.34 - 1459.34] пропорции объёма.
[1459.34 - 1461.34] Это насмотренность
[1461.34 - 1463.34] в живую. Я вам показываю на фотографии,
[1463.34 - 1465.34] так как надо это
[1465.34 - 1467.34] рассматривать, когда вы будете
[1467.34 - 1469.34] в живую смотреть.
[1471.34 - 1473.34] Вот это можешь мне объяснить ещё.
[1473.34 - 1475.34] Смотри, вот я показываю,
[1475.34 - 1477.34] допустим, джазефа Дирана
[1477.34 - 1479.34] фотографии.
[1479.34 - 1481.34] Мы тебе показывать продемонстрируем.
[1481.34 - 1483.34] Да, пожалуйста, потому что я не понимаю,
[1483.34 - 1485.34] как можно из 2D выйти вообще.
[1485.34 - 1487.34] Нет, я же говорю про конспект.
[1487.34 - 1489.34] Как можно это...
[1491.34 - 1493.34] Я говорю тебе про конспект,
[1493.34 - 1495.34] я говорю о том, как смотреть дальнейшем.
[1495.34 - 1497.34] Я говорю о том, что
[1497.34 - 1499.34] так как мы профессионалы,
[1499.34 - 1501.34] мы перестанем смотреть на картинки
[1501.34 - 1503.34] просто как на картинке
[1503.34 - 1505.34] в смысле, на интерьер.
[1505.34 - 1507.34] Вот, нравится, нравится,
[1507.34 - 1509.34] нравится.
[1509.34 - 1684.36] Ну, тогда давай закончим.
[1684.36 - 1697.08] Нет, не закончим.
[1697.08 - 1732.14] Вот, например, да, картинка
[1732.14 - 1735.83] французца.
[1735.83 - 1737.83] Джазефа Дирана.
[1737.83 - 1739.83] Как, смотрите, видите?
[1741.83 - 1743.83] Первая, вот люди приходят с нуля.
[1743.83 - 1745.83] Ничего, нравится, не нравится.
[1745.83 - 1747.83] Начинаю так собрать.
[1747.83 - 1749.83] Правильно, первая, люди с нуля пришли.
[1749.83 - 1751.83] Как вообще?
[1751.83 - 1753.83] Не нравится, например.
[1753.83 - 1755.83] Не знаю, нравится, не нравится.
[1755.83 - 1757.83] Первое отношение.
[1757.83 - 1759.83] Второе, так как мы
[1759.83 - 1761.83] все-таки учимся
[1761.83 - 1763.83] хотим быть
[1763.83 - 1765.83] профессионалами,
[1765.83 - 1767.83] все-таки очень важно понять,
[1767.83 - 1769.83] нравится, не нравится,
[1769.83 - 1771.83] уйти от этого
[1771.83 - 1773.83] сторону и понять, насколько это
[1773.83 - 1775.83] профессиональный интерьер, что у него есть.
